인물,신뢰 여부,경험 요약
엄마,신뢰하지 않음,어릴 때 소아과에서 여러 의사에게 진료받았지만 효과가 없어 특정 의사만 찾게 되었음.
아빠,신뢰하지 않음,내과 진료 시 의사의 태도가 불쾌해서 다시 가지 않게 되었음.
오빠,신뢰함,병원 진료나 약 처방 후 몸이 나아지는 경험으로 신뢰함.
친구1,신뢰하지 않음,감기 증상으로 병원에 갔으나 증상도 제대로 듣지 않고 기계적으로 약만 처방함.
친구2,신뢰함,목이 아파 병원에 갔는데 감기인지 코로나인지 친절히 설명하고 조언까지 해줘 신뢰함.
친구3,신뢰함,체기와 속불편으로 병원에 갔고 위내시경 권유 후 위염 발견으로 신뢰하게 됨.
친구4,신뢰함,산부인과 첫 방문 시 의사가 친절하고 조심스러워 신뢰하게 됨.
동생,신뢰함,시험 전 치통으로 병원 방문 후 빠른 신경치료와 친절한 응대로 신뢰함.
아빠,신뢰함,손가락 인대 손상 치료를 빠르고 정확히 받아 신뢰함.
엄마,신뢰하지 않음,병원마다 혹 진단이 달라 혼란스러워 신뢰하지 않게 됨.
이모,신뢰함,습관성 유산 치료 후 무사히 출산하여 의료진을 신뢰함.
외숙모,신뢰함,췌장 수술 후 회복이 잘 되어 신뢰함.
친구,신뢰함,코로나 증상으로 선별진료소 방문 시 친절한 검사와 설명으로 신뢰함.
친구2,신뢰하지 않음,"독감 의심 증상으로 첫 검사에서 음성, 재검에서 양성 판정 받아 신뢰 잃음."
친구1,신뢰함,어릴 때 입원 치료 후 빠르게 회복되어 신뢰함.
친구2,신뢰하지 않음,실습 중 위생 불량과 약 처방 후 재검 경험으로 신뢰하지 않게 됨.
친구3,신뢰함,독감 증상으로 병원 방문 시 의사의 설명과 빠른 검사로 신뢰함.
엄마,신뢰함,건강검진 시 체계적이고 친절한 안내로 신뢰함.
아빠,신뢰함,소화 불량으로 병원 방문 시 생활습관까지 상담해주고 적절한 처방으로 신뢰함.
